time_iso8601,forks_cumulative
2023-06-26 00:00:00+00:00,30
2023-06-27 00:00:00+00:00,37
2023-06-28 00:00:00+00:00,38
2023-07-02 00:00:00+00:00,39
2023-07-03 00:00:00+00:00,40
2023-07-10 00:00:00+00:00,46
2023-07-13 00:00:00+00:00,47
2024-04-19 00:00:00+00:00,48
2024-08-07 00:00:00+00:00,49
2024-09-23 00:00:00+00:00,50
2024-10-27 00:00:00+00:00,51
2024-10-31 00:00:00+00:00,53
