time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-25 00:00:00+00:00,0,0,1,1
2023-09-26 00:00:00+00:00,0,0,1,1
2023-09-27 00:00:00+00:00,1,1,2,1
2023-09-29 00:00:00+00:00,11,9,0,0
