url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School,11,10
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical%20example.ipynb,8,2
/ascsn/2023-FRIB-TA-Summer-School/tree/main,5,4
/ascsn/2023-FRIB-TA-Summer-School/tree/main/dimensionality-reduction,4,2
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,4,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/experimental-uq/Nuclear%20Densities.ipynb,3,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/.github/workflows,3,1
/ascsn/2023-FRIB-TA-Summer-School/commit/722c8f7c3d9957a448ebaf9261c10ba63188a948,2,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/dimensionality-reduction/README.md,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/First%20code.ipynb,2,1
