url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical%20example.ipynb,18,2
/ascsn/2023-FRIB-TA-Summer-School,8,4
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,3,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Calibrating%20Liquid%20Drop%20Challenge.ipynb,2,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/dimensionality-reduction,2,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-emulation,2,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main,1,1
