time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,13,4,0,0
2026-04-15 00:00:00+00:00,29,11,0,0
2026-04-16 00:00:00+00:00,18,6,0,0
2026-04-17 00:00:00+00:00,13,4,0,0
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,24,12,0,0
2026-04-20 00:00:00+00:00,36,17,16,1
2026-04-21 00:00:00+00:00,39,19,0,0
2026-04-22 00:00:00+00:00,92,31,0,0
2026-04-23 00:00:00+00:00,97,30,0,0
2026-04-24 00:00:00+00:00,87,27,0,0
2026-04-25 00:00:00+00:00,73,26,0,0
2026-04-26 00:00:00+00:00,34,10,0,0
2026-04-27 00:00:00+00:00,20,6,0,0
