url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School,7,4
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-emulation,6,6
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,3,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical example.ipynb,2,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/dimensionality-reduction/Gross-Pietaevskii Challenge.ipynb,1,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Calibrating Liquid Drop Challenge.ipynb,1,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Estimating Noise Level Challenge.ipynb,1,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Model Selection Challenge.ipynb,1,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/dimensionality-reduction,1,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-emulation/NMNet,1,1
