time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,9,4,4,3
2026-06-30 00:00:00+00:00,1,1,2,1
2026-07-01 00:00:00+00:00,9,4,8,4
2026-07-02 00:00:00+00:00,9,4,2,1
2026-07-03 00:00:00+00:00,8,3,1,1
2026-07-04 00:00:00+00:00,16,7,4,1
2026-07-05 00:00:00+00:00,14,5,0,0
2026-07-06 00:00:00+00:00,10,5,1,1
2026-07-07 00:00:00+00:00,15,5,0,0
2026-07-08 00:00:00+00:00,20,7,1,1
2026-07-09 00:00:00+00:00,2,2,0,0
2026-07-10 00:00:00+00:00,3,3,0,0
2026-07-11 00:00:00+00:00,8,3,0,0
2026-07-12 00:00:00+00:00,7,2,1,1
