time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,32,9,0,0
2026-05-04 00:00:00+00:00,30,8,0,0
2026-05-05 00:00:00+00:00,27,8,0,0
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,7,3,0,0
2026-05-08 00:00:00+00:00,36,11,0,0
2026-05-09 00:00:00+00:00,30,9,0,0
2026-05-10 00:00:00+00:00,14,5,0,0
2026-05-11 00:00:00+00:00,24,7,0,0
2026-05-12 00:00:00+00:00,16,4,0,0
2026-05-13 00:00:00+00:00,31,8,0,0
2026-05-14 00:00:00+00:00,14,5,0,0
2026-05-15 00:00:00+00:00,10,5,0,0
2026-05-16 00:00:00+00:00,8,3,0,0
