time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,39,19,0,0
2026-04-22 00:00:00+00:00,92,31,0,0
2026-04-23 00:00:00+00:00,97,30,0,0
2026-04-24 00:00:00+00:00,87,27,0,0
2026-04-25 00:00:00+00:00,73,26,0,0
2026-04-26 00:00:00+00:00,34,10,0,0
2026-04-27 00:00:00+00:00,20,6,0,0
2026-04-28 00:00:00+00:00,13,3,0,0
2026-04-29 00:00:00+00:00,33,9,0,0
2026-04-30 00:00:00+00:00,37,9,0,0
2026-05-01 00:00:00+00:00,31,7,0,0
2026-05-02 00:00:00+00:00,34,8,0,0
2026-05-03 00:00:00+00:00,32,9,0,0
2026-05-04 00:00:00+00:00,30,8,0,0
