Z,N,Skyrme,Skyrme_sd,UNEDF,UNEDF_sd,Gogny,Gogny_sd,Astro,Astro_sd
8,8,128.7422735,1.021639198326715,123.45488066666667,2.820379184247444,127.51837499999999,0.721858442855667,126.831211,1.6953436622236873
8,9,133.84594875000002,1.071011205434796,128.68870900000002,3.27267510991788,132.759547,0.13603603099179568,131.06687,1.9560412045250908
8,10,143.98226025000002,1.3511961198168978,138.14101133333335,3.377607319276505,141.07301,0.10252058377710482,139.967529,2.648073883350318
8,11,148.01255925,1.5585527813432927,142.32519233333332,3.5655414579732843,145.22226,0.6891886953512805,143.44818800000002,2.123882898534644
8,12,156.38617775,1.9576250738588528,149.95656766666664,3.615504888693466,152.47315550000002,0.8038920218614587,152.453847,0.7440927084832821
8,13,159.56651625,2.3074048905178177,153.27608033333334,3.748083349695585,155.67828400000002,1.5268387020533676,154.65450550000003,0.7007350419812648
8,14,167.02613150000002,2.731475145521979,159.94062233333332,3.7302082605851035,162.1372235,1.773492396573631,161.6601645,0.38207029997175596
8,15,168.57990325,3.0110900183482157,161.678585,3.876532290172235,164.9961845,2.48663645545796,163.3408235,1.6699366084688698
8,16,174.3907505,3.3449840638598545,166.7875283333333,3.86266494188796,168.93089750000001,2.7672560242125184,167.1514825,1.656726439582734
8,17,173.52200125000002,3.2715691964995774,165.96237033333333,4.250202275838341,168.678933,3.560670137790361,165.4221415,0.7242774551540984
8,18,176.62196,3.1984300425311907,168.16385233333335,4.564178387252012,171.75145250000003,5.93913764050309,168.08280050000002,0.9514835918714111
8,19,174.7026835,3.350714154809938,166.73014233333333,4.801151719251566,169.732415,5.069306497082419,165.0984595,0.5678640209420679
8,20,176.40487499999998,3.4709558011891515,167.85207333333332,5.086393196829203,170.98197800000003,5.7480823379739485,167.9341185,1.575601492790774
8,21,173.41616725,3.8865424143897123,165.57843866666667,5.059965220744643,168.78977500000002,5.514517897080222,164.4397775,0.7350763899163865
8,22,173.76704275,4.427359048161649,165.59718999999998,5.0940793280682275,168.9633375,7.516047987945832,165.4004365,0.39659710168443296
9,8,130.30742475,1.0613255281886487,125.02384166666667,3.213742732690557,129.3199885,0.12531134244152553,127.5907035,2.304173207427009
9,9,137.261028,1.1317637559205165,132.43309066666666,3.491896969357831,136.484889,0.4060447553878889,136.30136249999998,0.6061849658416885
9,10,149.15758325,1.2413392376143255,144.03126566666666,3.347726151952448,147.1096665,0.44152242392034213,146.9670215,2.1821011211501
9,11,155.050724,1.4597496754089923,150.14212666666668,3.4851462944479517,153.7625285,0.9770101466722487,154.7376805,0.7886793265710139
9,12,165.18428575000002,1.762224823142684,159.666923,3.416583621534678,162.4601275,1.0620991340795203,164.12833899999998,1.6664229948731621
9,13,169.77933824999997,2.135270845149838,164.377211,3.760285293972776,167.52079600000002,1.6381033682866353,168.153998,0.797613620751298
9,14,178.574597,2.5204595995221535,172.426826,3.9103895631371506,174.54745250000002,1.8048172269802099,175.91465699999998,1.7177844030314202
9,15,181.46161125,2.7592645680925356,175.40866100000002,4.079872802889461,178.7427095,2.5673951209372654,179.400316,2.546031303757294
9,16,188.537043,3.0306937457054284,181.730505,4.08328990441005,183.91618449999999,2.7718154487376334,183.640975,2.532821134871158
9,17,188.85497175000003,2.9098785005362195,182.04401466666664,4.423813256546473,184.921944,3.5578035268994332,184.051634,1.7700777779272805
9,18,193.08503524999998,2.803541109871742,185.37428566666668,4.670940195023519,187.9651755,3.8942484689219046,187.062293,1.997283914644593
9,19,192.27494025,2.886769123687398,184.90516666666667,4.9010167115379595,188.4378115,4.917351371125788,186.302952,0.569860183385362
9,20,195.0938705,2.930287823772544,187.1401523333333,5.093020357478685,190.9064505,5.484011189219481,188.728611,1.2991121347451091
9,21,193.06379475,3.4838680583305046,185.514831,5.145173478627515,188.36700349999998,5.768244073625924,187.40927,0.3949474215639297
9,22,194.466929,4.105022844378578,186.42482499999997,5.158323335120927,188.70480300000003,6.4576470223318845,189.1299285,0.6362949867981812
9,23,192.453819,4.537331826163705,184.79104199999998,5.257317961405714,187.0375965,7.123325124315506,186.59558750000002,0.10689686764587275
9,24,193.6411525,5.087359568527636,185.439481,5.307287635944001,186.88430799999998,7.537421704620756,187.18624649999998,0.26339232624451464
9,25,191.217741,5.604874053546966,183.40136299999998,5.456377213096243,184.982759,7.728466400548165,184.62190550000003,0.936075735109349
10,8,136.70563225,1.3566113968358577,131.501048,3.597600744187841,133.733985,0.10738265000454736,132.255196,2.9907844985608802
10,9,145.433814,1.2515140788301198,141.06316833333335,3.593095834568603,143.2558545,0.44475531612394426,143.04585500000002,2.2968878862604285
10,10,159.01526125,1.1714454852962182,154.784665,3.1281082695231297,155.8858715,0.01562918118455714,161.77651350000002,1.3668564999166952
10,11,166.697537,1.275619668993083,162.74801466666668,3.1513918645468806,164.933211,0.27850673369238144,167.45217250000002,0.6960370245270654
10,12,178.5173335,1.497516165660655,174.092038,2.9325869461332292,175.0812425,0.37382684911665515,178.0028315,0.04643075257305276
10,13,184.41155799999999,1.7901586779299756,180.07727533333332,3.501847321660435,181.27214600000002,0.9589075059670756,182.6484905,0.05870329786731104
10,14,194.4269175,2.1331114741949992,189.39613433333332,3.865681119365932,189.51603749999998,1.2182283113655281,192.65414950000002,0.06243682167197535
10,15,198.57671699999997,2.3068183013040575,193.548101,4.050531582898839,194.720136,1.929181046334946,196.29980849999998,0.9613944005165002
10,16,206.84627475,2.534578901986714,201.00910333333331,4.095397630902325,201.12653,2.0124117571212885,202.2054675,0.06297846546636333
