Z,N,BE,BE_sd
15,19,286.15013118181815,2.4183616751939256
15,20,295.37662800000004,2.3269879543303666
15,21,299.29806609090906,2.57635245168294
15,22,306.2903194545454,2.9390989049296654
15,23,309.77239699999996,2.9777631907354882
15,24,316.20710645454545,3.2031983462921647
15,25,319.0766864545455,3.3977381508367377
15,26,324.63946609090914,3.830074092482602
15,27,326.70639445454543,4.076581726395733
15,28,331.5054361818182,4.400855135304519
15,29,332.8675257272727,4.632344586403192
15,30,336.49314745454546,5.129463884512257
15,31,337.24772054545457,5.311383353825594
15,32,340.1767194545455,5.820135008931331
15,33,339.92778327272725,5.856107534358332
15,34,341.77184390909093,6.288322312946237
15,35,340.02978636363633,6.41407188422201
15,36,340.67940663636364,6.728772522761451
16,8,133.77684881818183,5.020422616637166
16,9,151.75597654545456,4.4552278956949545
16,10,173.65559445454545,4.013413767562829
16,11,190.07059418181817,3.9286568680757226
16,12,210.24476463636358,3.4260358963379374
16,13,225.16268281818185,3.1711450526149285
16,14,243.37766681818186,3.1870340027272945
16,15,255.54393427272728,2.941415362651253
16,16,270.44330909090905,3.241567472287047
16,17,279.21891327272726,2.7535471330398056
16,18,291.12890054545454,2.72904768948798
16,19,298.57426645454547,2.314817243838975
16,20,309.06828054545457,2.158040247516083
16,21,313.9245525454546,2.3783890144784503
16,22,321.9645007272727,2.6706548470109834
16,23,326.3238938181818,2.630347912313382
16,24,333.7293005454546,2.7153304173694757
16,25,337.5505171818182,2.841952624566559
16,26,344.0527826363637,3.2813430226876155
16,27,346.92944427272727,3.4817503075174803
16,28,352.3778429090909,3.9408957522425654
16,29,354.4953353636364,4.138765711206623
16,30,358.99342345454545,4.658534859323611
16,31,360.2905743636364,4.86030668954936
16,32,363.9095176363637,5.367782389439167
16,33,364.1164969090909,5.399168367140623
16,34,366.5473597272727,5.810918008474173
16,35,365.28863418181817,5.99494764932403
16,36,366.7553477272727,6.115165464816995
16,37,365.22292536363636,6.262060641091479
16,38,366.1589205454545,6.425107538355146
17,8,127.692373,5.390207255829238
17,9,146.58051454545455,4.810627597309695
17,10,169.46960127272726,4.250890858189519
17,11,187.3548210909091,3.841747929460614
17,12,208.35008381818182,3.4460099825576482
17,13,224.70985690909092,3.0924403312710003
17,14,243.94604163636362,2.90338914394458
17,15,257.3359358181818,2.6348608634527055
17,16,273.13046181818186,2.7786502920835834
17,17,283.7337270909091,2.3174235486466968
17,18,296.8605355454545,2.245450944770147
17,19,305.5390812727273,1.9445219373464093
17,20,316.987951,1.8133069626538716
17,21,323.1144979090909,1.9455197145471645
17,22,332.08880736363636,2.230605248421351
17,23,337.4736278181818,2.2310635527663387
17,24,345.73529690909095,2.3769480749017773
17,25,350.4765187272728,2.5147553248041103
17,26,357.87880790909094,2.8826331091105315
17,27,361.73146772727273,3.0679701596138496
17,28,368.2473993636363,3.4112225634502225
17,29,371.2572014545454,3.576087814658778
17,30,376.4114837272727,4.059329477175761
17,31,378.5183553636364,4.233533846350314
17,32,382.6589151818182,4.788666772766734
17,33,383.4830771818182,4.807290225506734
17,34,386.4380101818182,5.228609326009988
17,35,386.14278190909084,5.304351747575573
17,36,388.0589947272727,5.507885475054143
17,37,387.34630990909085,5.629135553685678
17,38,388.8231887272727,5.819684606949571
17,39,387.5172766363636,6.098238226353418
17,40,388.86805672727274,6.282056858290914
17,41,387.1844661818182,6.380714681041206
17,42,387.7704606363637,6.829087231123526
18,9,144.7371649090909,5.074958373867804
18,10,168.4831568181818,4.667409713919202
18,11,187.29495718181818,4.389164238475741
18,12,209.53473118181822,3.786183770403907
18,13,227.0159355454545,3.4664868184029074
18,14,247.43727672727272,3.0841062197333953
18,15,261.9165677272727,2.792171287999938
18,16,278.86596372727274,2.8158473206672996
18,17,290.65264381818184,2.2349181019903583
18,18,305.38364172727273,2.290400741224511
18,19,315.2106240909091,1.7752919734447166
18,20,327.9665575454546,1.5560138600650995
18,21,334.90255163636357,1.6696370091033155
18,22,345.00926409090914,1.9070683198504672
18,23,351.1350125454546,1.9500208686666616
18,24,360.3721643636364,2.116130832096983
18,25,365.72614909090913,2.2235250644189435
18,26,374.1962232727273,2.478036124763119
18,27,378.9979180909091,2.571586134518213
18,28,386.4697295454545,2.894222739605873
18,29,390.18542754545456,3.0336084042809004
18,30,396.1240235454545,3.5463980376819566
18,31,398.77951254545457,3.7464937866002472
18,32,403.64580181818184,4.251418372053163
18,33,405.0050821818182,4.261683784369644
18,34,408.5967353636363,4.610975354523622
18,35,408.92693390909085,4.666978536236361
18,36,411.5634439090909,4.840237130216957
18,37,411.4752978181819,4.933548014770727
18,38,413.74698972727276,5.0618463921793575
18,39,413.0163951818182,5.3398540099128695
18,40,415.1303962727272,5.41483812360119
18,41,413.65342663636363,5.678411021124596
18,42,414.9174575454545,5.97631998291505
18,43,413.259029,6.210949804453933
18,44,414.10257499999994,6.613014989541095
18,45,412.4593292727273,6.814667439852484
18,46,413.29347354545445,7.212417429794486
18,47,411.586224,7.394470589068109
18,48,412.01848363636367,7.823298190639139
19,10,162.77699218181817,5.024286022198594
19,11,182.81846399999998,4.476827529733207
19,12,205.81857027272727,4.073325984847077
19,13,224.4168858181818,3.539076389631134
19,14,245.88955136363637,3.1859065976529917
19,15,261.617631090909,2.603722063193283
19,16,279.6089019090909,2.567730750510977
19,17,292.5721067272727,2.123848984743678
19,18,308.52694481818185,1.8698253493623227
19,19,319.6876961818182,1.4388427222367763
19,20,333.7225945454545,1.2869506281218686
19,21,341.7951292727273,1.3547253607699936
19,22,352.8308069090909,1.5275269067749737
19,23,360.0519568181818,1.5618931556309956
19,24,370.0515638181818,1.6830513985703408
19,25,376.59743090909086,1.7984174091967824
19,26,385.92256009090903,2.024513459277036
19,27,391.56617800000004,2.170718144925645
19,28,399.975153909091,2.4358924903613337
19,29,404.4788205454546,2.589707253040594
19,30,411.0744909090909,3.0652248689904775
19,31,414.4242727272727,3.260147594233945
19,32,419.9426164545455,3.7387118643941806
19,33,421.92589163636364,3.7720116791698493
19,34,426.11098572727275,4.08482558258102
19,35,427.1858737272727,4.133485578090209
19,36,430.5798916363636,4.308775170265238
19,37,431.21352199999995,4.3694504967077625
19,38,434.29197700000003,4.49771172477802
19,39,434.4013645454545,4.681752976707591
19,40,437.00984027272716,4.912928211825108
19,41,436.16722163636365,5.182864710055154
19,42,438.0105633636363,5.506478577440291
19,43,437.04394736363633,5.765202198768538
19,44,438.3592827272727,6.166671859947986
19,45,437.26601999999997,6.407201913401597
19,46,438.2052891818182,6.8672083098303265
19,47,437.1934691818182,7.008476068372124
19,48,438.0425675454546,7.415393836340153
19,49,436.6911088181818,7.581852893216709
20,11,181.11469309090907,4.86489201389481
20,12,205.29842509090906,4.233644858023786
20,13,224.80739663636362,3.736015116173675
20,14,247.44765499999997,3.3617450940793714
20,15,264.06940809090906,2.7488291944110435
20,16,283.3335108181819,2.5870239164329876
20,17,297.3701621818182,2.1838663452610794
20,18,314.4930259090909,1.750888940566835
20,19,326.9144646363636,1.2902329047849028
20,20,342.2696965454545,1.22273034110455
20,21,351.3467,1.17554749839664
20,22,363.4642871818182,1.3333966666269115
20,23,371.51121281818183,1.3988456509746858
20,24,382.5661688181818,1.4184498382036481
20,25,389.98713972727273,1.4975101888430775
20,26,400.2883175454545,1.6952121774643703
20,27,406.784353,1.804151943395685
20,28,416.1531403636364,2.040396133346286
20,29,421.16419427272723,2.2163714664618066
20,30,428.5986890909091,2.6842668582659384
20,31,432.4502466363636,2.9646663808787905
20,32,438.71874409090907,3.337061293512246
20,33,441.08564172727273,3.5093668111351173
20,34,445.92688899999996,3.7270586430842965
20,35,447.7421841818181,3.688680778797258
20,36,451.8237946363636,3.8405165565610133
20,37,453.15532309090906,3.928329355330277
20,38,456.96372118181813,4.047178023209565
20,39,457.7659291818182,4.189494141310311
20,40,461.1366202727273,4.356748727925132
20,41,460.9234280909091,4.6464472652870334
20,42,463.40346772727264,4.947434160372806
20,43,462.83786290909086,5.234498600856789
20,44,464.8721832727273,5.6050946619876205
20,45,463.96406754545455,5.945343773545151
20,46,465.7956884545454,6.303162261682614
20,47,464.7934929090909,6.614155680791273
20,48,466.36499890909084,6.975292653413818
20,49,465.17331009090907,7.203321394023734
20,50,466.39279354545454,7.548025541823287
21,12,199.90866099999997,4.3233215437796675
21,13,219.69974945454544,4.546708864422468
21,14,242.73206581818184,4.710724998305928
21,15,260.97394809090906,2.935963291241311
21,16,281.0364435454545,2.90668593741073
21,17,296.2743133636364,2.4045053502583666
21,18,314.29056918181817,1.9783341077028263
21,19,327.84757854545455,1.4645254544641042
21,20,344.20713581818177,1.207482122604453
21,21,354.5613553636364,1.1691997310493372
21,22,367.6516448181818,1.3560404187381585
21,23,376.80797054545457,1.2768138629192878
21,24,388.6454180909091,1.3180877522358272
21,25,397.0368413636363,1.3306463887999147
21,26,408.12183827272725,1.4867133034286144
21,27,415.5519803636364,1.5584097546345885
21,28,425.6360843636363,1.7685172206320774
21,29,431.5026809090909,1.8767964534061352
21,30,439.4954565454546,2.360543179360847
21,31,444.1334043636364,2.540797123366621
21,32,450.88894463636365,2.997762769510452
21,33,454.0644273636363,3.055621856267177
21,34,459.5522468181817,3.269702039775347
21,35,462.0055211818181,3.267323605647077
21,36,466.8003738181818,3.4070009071690515
21,37,468.81802690909086,3.456007625940346
21,38,473.31800263636376,3.5741318397132025
21,39,474.7981293636363,3.682343462127383
21,40,478.77512463636356,3.8654775733737825
21,41,479.24578899999995,4.113610798431038
21,42,482.3245350909092,4.427403416832898
21,43,482.4371442727273,4.682886554193532
21,44,485.0187567272727,5.047194888190702
21,45,484.91292454545453,5.338246187295522
21,46,487.27815163636365,5.727779478857657
21,47,486.87566300000003,6.019378942996068
21,48,488.932253,6.381505524280354
21,49,488.2328765454546,6.660252197934908
21,50,489.8579908181819,6.995756118016198
21,51,488.92336427272727,7.163328016964179
21,52,489.8369973636363,7.518746376180739
21,53,488.74471709090903,7.708115901109178
21,54,489.37498054545455,8.07653701804248
22,12,197.4881779090909,4.648248512311075
22,13,218.414956,4.075345723361114
22,14,242.1995843636364,3.8099390527720374
22,15,260.73509345454545,3.2561615741725647
22,16,281.87929836363634,3.1156623927534954
22,17,298.11287627272725,2.5790975333525608
22,18,317.1073145454546,2.2238105858244865
22,19,331.6420809090909,1.6391601586337217
22,20,348.89924072727274,1.551368449430118
22,21,360.37990545454545,1.1963398444655686
22,22,374.66096763636364,1.6519139991890226
22,23,384.72937336363634,1.38501785655681
22,24,397.6297476363636,1.5097847704810343
22,25,406.8039467272727,1.2553644081922226
22,26,418.76969109090913,1.5369921227151149
22,27,426.8793426363636,1.4746994649988299
22,28,437.81126954545454,1.6133273553786418
22,29,444.2446026363637,1.6881309555560704
22,30,452.96149690909095,2.1529416228053346
22,31,458.15066818181816,2.315818006792389
22,32,465.63448909090897,2.6666337226823686
22,33,469.3294773636364,2.7371206743194763
22,34,475.53258854545453,2.8895768593692743
22,35,478.53960763636354,2.9032266618426252
22,36,484.1080641818182,2.9665877502574864
