N,Z,rate
64,45,2.20E+09
65,45,1.21E+09
66,45,1.70E+09
67,45,5.03E+08
68,45,5.72E+08
69,45,4.22E+08
70,45,3.51E+08
71,45,1.71E+08
72,45,6.21E+07
73,45,1.43E+07
74,45,3030000
75,45,316000
76,45,39800
77,45,1450
78,45,238
79,45,52.7
80,45,15.8
81,45,3.64
82,45,0.788
83,45,0.172
84,45,0.0469
85,45,0.014
86,45,0.0032
87,45,0.000794
88,45,0.000113
89,45,1.95E-05
90,45,2.19E-06
91,45,3.49E-07
92,45,2.32E-08
93,45,1.48E-09
94,45,2.17E-10
95,45,1.04E-10
96,45,6.01E-11
97,45,3.45E-11
98,45,1.96E-11
100,45,5.73E-12
102,45,1.93E-12
104,45,1.55E-12
40,46,3.91E-06
41,46,0.000119
42,46,0.00356
43,46,0.105
44,46,3.04
45,46,86.5
46,46,2420
47,46,65100
48,46,2060000
49,46,4.38E+07
50,46,5.29E+08
51,46,3.83E+09
52,46,1.73E+10
53,46,5.03E+10
54,46,9.35E+10
55,46,1.07E+11
56,46,6.72E+10
57,46,2.72E+10
58,46,2.19E+10
59,46,2.56E+10
60,46,2.48E+10
61,46,2.10E+10
62,46,1.63E+10
63,46,1.19E+10
64,46,8.19E+09
65,46,5.34E+09
66,46,3.28E+09
67,46,1.88E+09
68,46,9.93E+08
69,46,4.88E+08
70,46,6.39E+08
71,46,3.88E+08
72,46,2.84E+08
73,46,1.03E+08
74,46,3.70E+07
75,46,6620000
76,46,1390000
77,46,101000
78,46,13600
79,46,1640
80,46,354
81,46,33.8
82,46,6.45
83,46,1.14
84,46,0.294
85,46,0.0914
86,46,0.0204
87,46,0.00523
88,46,0.000734
89,46,0.000125
90,46,1.41E-05
91,46,2.12E-06
92,46,1.44E-07
93,46,8.55E-09
94,46,1.24E-09
95,46,4.06E-10
96,46,2.09E-10
97,46,1.09E-10
98,46,5.51E-11
99,46,2.78E-11
100,46,1.34E-11
102,46,3.38E-12
104,46,2.47E-12
106,46,1.99E-12
46,47,34.2
47,47,857
48,47,20200
49,47,480000
50,47,1.15E+07
51,47,1.59E+08
52,47,1.45E+09
53,47,8.71E+09
54,47,3.49E+10
55,47,9.06E+10
56,47,1.43E+11
57,47,1.07E+11
58,47,4.38E+10
59,47,2.20E+10
60,47,2.41E+10
61,47,2.82E+10
62,47,2.86E+10
63,47,2.56E+10
64,47,2.12E+10
65,47,1.66E+10
66,47,1.22E+10
67,47,8.43E+09
68,47,5.41E+09
69,47,3.19E+09
70,47,1.69E+09
71,47,7.80E+08
72,47,5.54E+08
73,47,3.16E+08
74,47,2.12E+08
75,47,5.72E+07
76,47,2.15E+07
77,47,2730000
78,47,551000
79,47,102000
80,47,26700
81,47,1420
82,47,103
83,47,9
84,47,2.07
85,47,0.649
86,47,0.138
87,47,0.0379
88,47,0.00494
89,47,0.00084
90,47,9.03E-05
91,47,1.35E-05
92,47,9.12E-07
93,47,5.05E-08
94,47,7.87E-09
95,47,2.02E-09
96,47,9.56E-10
97,47,4.43E-10
98,47,2.05E-10
99,47,9.17E-11
100,47,4.00E-11
101,47,1.66E-11
102,47,6.53E-12
104,47,4.31E-12
106,47,3.31E-12
108,47,2.46E-12
42,48,9.18E-07
43,48,2.56E-05
44,48,0.000695
45,48,0.0181
46,48,0.448
47,48,10.4
48,48,224
49,48,4820
50,48,144000
51,48,3750000
52,48,5.66E+07
53,48,5.21E+08
54,48,3.08E+09
55,48,1.65E+10
56,48,6.92E+10
57,48,1.70E+11
58,48,4.76E+13
59,48,7.07E+10
60,48,3.89E+10
61,48,1.82E+10
62,48,2.54E+10
63,48,3.12E+10
64,48,3.45E+10
65,48,3.37E+10
66,48,3.05E+10
67,48,2.59E+10
68,48,2.06E+10
69,48,1.52E+10
70,48,1.03E+10
71,48,6.25E+09
72,48,3.32E+09
73,48,1.48E+09
74,48,5.27E+08
75,48,2.00E+08
76,48,1.17E+08
77,48,2.71E+07
78,48,7800000
79,48,2990000
80,48,1240000
81,48,97400
82,48,9370
83,48,117
84,48,23.7
85,48,5.18
86,48,0.963
87,48,0.298
88,48,0.0359
89,48,0.00598
90,48,0.000595
91,48,9.02E-05
92,48,5.90E-06
93,48,3.20E-07
94,48,5.43E-08
95,48,1.20E-08
96,48,5.33E-09
97,48,2.29E-09
98,48,9.54E-10
99,48,3.92E-10
100,48,1.54E-10
101,48,5.76E-11
102,48,2.01E-11
103,48,1.10E-11
104,48,8.33E-12
106,48,5.71E-12
108,48,3.89E-12
110,48,2.76E-12
112,48,1.61E-12
116,48,4.98E-13
47,49,0.0923
48,49,2.37
49,49,58.3
50,49,1360
51,49,29400
52,49,849000
53,49,1.54E+07
54,49,1.66E+08
55,49,1.08E+09
56,49,5.18E+09
57,49,1.90E+10
58,49,5.00E+10
59,49,9.22E+10
60,49,1.11E+11
61,49,7.19E+10
62,49,2.38E+10
63,49,1.77E+10
64,49,2.45E+10
65,49,3.27E+10
66,49,4.00E+10
67,49,4.55E+10
68,49,4.72E+10
69,49,4.52E+10
70,49,4.03E+10
71,49,3.32E+10
72,49,2.49E+10
73,49,1.66E+10
74,49,9.55E+09
75,49,5.21E+08
76,49,3.11E+08
77,49,1.21E+08
78,49,6.45E+07
79,49,3.94E+07
80,49,2.43E+07
81,49,5860000
82,49,442000
83,49,16000
84,49,224
85,49,68.5
86,49,10.1
87,49,2.82
88,49,0.291
89,49,0.0496
90,49,0.00434
91,49,0.000669
92,49,4.20E-05
93,49,2.15E-06
94,49,3.94E-07
95,49,8.10E-08
96,49,3.35E-08
97,49,1.36E-08
98,49,5.36E-09
99,49,2.02E-09
100,49,7.35E-10
101,49,2.52E-10
102,49,8.00E-11
103,49,2.58E-11
104,49,1.86E-11
105,49,1.36E-11
106,49,1.10E-11
107,49,8.87E-12
108,49,7.08E-12
110,49,4.46E-12
112,49,2.49E-12
114,49,1.41E-12
116,49,6.93E-13
118,49,2.60E-13
120,49,2.33E-13
44,50,6.49E-08
45,50,1.76E-06
46,50,4.63E-05
47,50,0.00118
48,50,0.0286
49,50,0.653
50,50,13.9
51,50,289
52,50,10300
53,50,340000
54,50,6590000
55,50,7.69E+07
56,50,5.59E+08
57,50,2.61E+09
58,50,8.17E+09
59,50,2.57E+10
60,50,7.52E+10
61,50,1.45E+11
62,50,4.20E+13
63,50,2.11E+10
64,50,1.29E+10
65,50,1.81E+10
66,50,2.28E+10
67,50,2.70E+10
68,50,3.76E+10
69,50,4.95E+10
70,50,6.20E+10
71,50,7.38E+10
72,50,8.36E+10
73,50,8.71E+10
74,50,3.88E+13
75,50,4.36E+09
76,50,2.32E+09
77,50,1.05E+09
78,50,3.79E+08
79,50,1.58E+08
80,50,2.27E+08
81,50,6.23E+07
82,50,1.73E+07
83,50,1070000
84,50,9810
85,50,5250
86,50,94.1
87,50,33.9
88,50,3.51
89,50,0.464
90,50,0.0357
91,50,0.00564
92,50,0.000332
93,50,1.66E-05
94,50,3.03E-06
95,50,6.29E-07
96,50,2.29E-07
97,50,9.01E-08
98,50,3.37E-08
99,50,1.21E-08
100,50,4.15E-09
101,50,1.33E-09
102,50,3.93E-10
103,50,1.05E-10
104,50,4.76E-11
105,50,3.21E-11
106,50,2.29E-11
107,50,1.77E-11
108,50,1.34E-11
110,50,7.84E-12
112,50,4.37E-12
114,50,2.12E-12
116,50,9.88E-13
118,50,3.55E-13
120,50,2.92E-13
122,50,2.84E-13
52,51,103
53,51,3170
54,51,110000
55,51,2300000
56,51,2.95E+07
57,51,2.39E+08
58,51,1.28E+09
59,51,4.68E+09
60,51,1.22E+10
61,51,2.35E+10
62,51,3.43E+10
63,51,3.90E+10
64,51,3.33E+10
65,51,2.32E+10
66,51,1.32E+10
67,51,1.67E+10
68,51,2.27E+10
69,51,2.83E+10
70,51,3.29E+10
71,51,3.57E+10
72,51,3.57E+10
73,51,3.35E+10
74,51,2.96E+10
75,51,2.42E+10
76,51,1.82E+10
77,51,1.22E+10
78,51,7.11E+09
79,51,3.40E+08
80,51,6.88E+08
81,51,4.15E+08
82,51,1.79E+08
83,51,1.12E+07
84,51,1790000
85,51,257000
86,51,2600
87,51,3410
88,51,270
89,51,6.22
90,51,0.356
91,51,0.0558
92,51,0.00315
93,51,0.000131
94,51,2.31E-05
95,51,4.69E-06
96,51,1.83E-06
97,51,6.34E-07
98,51,2.31E-07
99,51,7.99E-08
100,51,2.61E-08
101,51,8.00E-09
102,51,2.23E-09
103,51,5.60E-10
104,51,1.60E-10
105,51,9.45E-11
106,51,5.84E-11
107,51,3.98E-11
108,51,2.89E-11
109,51,2.07E-11
110,51,1.49E-11
111,51,1.07E-11
112,51,7.61E-12
114,51,3.40E-12
115,51,2.30E-12
116,51,1.47E-12
117,51,9.14E-13
118,51,5.05E-13
119,51,4.38E-13
120,51,4.38E-13
121,51,4.05E-13
122,51,3.88E-13
124,51,3.65E-13
50,52,0.00168
51,52,0.0458
52,52,1.21
53,52,31.2
54,52,782
55,52,27900
56,52,619000
57,52,8580000
58,52,7.74E+07
59,52,4.75E+08
60,52,2.06E+09
61,52,6.54E+09
62,52,1.57E+10
63,52,2.91E+10
64,52,4.23E+10
65,52,4.84E+10
66,52,4.09E+10
67,52,2.69E+10
68,52,1.35E+10
69,52,1.58E+10
70,52,1.85E+10
71,52,2.46E+10
72,52,3.26E+10
73,52,4.14E+10
74,52,5.03E+10
75,52,5.85E+10
76,52,6.47E+10
77,52,6.64E+10
78,52,3.38E+13
79,52,2.94E+09
80,52,1.57E+09
81,52,9.23E+08
82,52,4.17E+08
83,52,2.21E+08
84,52,3740000
85,52,1.93E+07
86,52,164000
87,52,258000
88,52,1210
89,52,416
90,52,4.42
91,52,0.7
92,52,0.0339
93,52,0.00125
94,52,0.000193
95,52,3.65E-05
96,52,1.39E-05
97,52,5.15E-06
98,52,1.84E-06
99,52,5.74E-07
100,52,1.81E-07
101,52,5.30E-08
102,52,1.42E-08
103,52,3.35E-09
104,52,7.94E-10
105,52,3.54E-10
106,52,1.98E-10
107,52,1.10E-10
108,52,7.00E-11
109,52,4.72E-11
110,52,3.14E-11
111,52,2.15E-11
112,52,1.45E-11
113,52,9.69E-12
114,52,6.41E-12
115,52,3.76E-12
116,52,2.33E-12
117,52,1.38E-12
118,52,7.44E-13
119,52,6.11E-13
120,52,5.88E-13
121,52,5.94E-13
122,52,5.23E-13
124,52,4.86E-13
126,52,4.19E-13
55,53,173
56,53,4820
57,53,111000
58,53,1670000
59,53,2.24E+07
60,53,1.91E+08
61,53,1.03E+09
62,53,3.50E+09
63,53,7.68E+09
64,53,1.76E+10
65,53,3.43E+10
66,53,5.34E+10
67,53,6.54E+10
68,53,5.55E+10
69,53,3.30E+10
70,53,1.26E+10
71,53,1.11E+10
72,53,1.40E+10
73,53,1.63E+10
74,53,1.81E+10
75,53,2.62E+10
76,53,2.56E+10
77,53,2.38E+10
78,53,2.08E+10
79,53,1.70E+10
80,53,1.27E+10
81,53,8.60E+09
82,53,5.08E+09
83,53,2.15E+08
84,53,1.72E+08
85,53,1.26E+08
86,53,2420000
87,53,9800000
88,53,49900
89,53,48100
90,53,123
91,53,40.6
92,53,0.509
93,53,0.0159
94,53,0.00218
95,53,0.000304
96,53,0.00011
97,53,4.05E-05
98,53,1.41E-05
99,53,4.68E-06
100,53,1.35E-06
101,53,3.81E-07
102,53,9.65E-08
103,53,2.17E-08
104,53,4.42E-09
105,53,1.63E-09
106,53,8.51E-10
107,53,4.40E-10
108,53,2.25E-10
109,53,1.30E-10
110,53,8.05E-11
111,53,5.04E-11
112,53,3.12E-11
113,53,1.96E-11
114,53,1.21E-11
115,53,7.38E-12
116,53,3.96E-12
117,53,2.25E-12
118,53,1.16E-12
119,53,9.11E-13
120,53,8.53E-13
121,53,8.47E-13
122,53,8.41E-13
124,53,6.88E-13
126,53,5.85E-13
53,54,0.0033
54,54,0.0721
55,54,1.48
56,54,33
57,54,1000
58,54,32300
59,54,748000
60,54,1.15E+07
61,54,1.11E+08
62,54,6.74E+08
63,54,2.56E+09
64,54,6.31E+09
65,54,1.04E+10
66,54,1.55E+10
67,54,3.57E+10
68,54,6.65E+10
69,54,9.50E+10
70,54,3.25E+13
71,54,7.35E+09
72,54,5.98E+09
73,54,8.97E+09
74,54,1.24E+10
75,54,1.63E+10
76,54,2.07E+10
77,54,2.53E+10
78,54,2.97E+10
79,54,3.36E+10
80,54,3.61E+10
81,54,3.63E+10
82,54,2.17E+13
83,54,3.80E+08
84,54,9.66E+07
85,54,8.02E+08
86,54,2.14E+07
87,54,1.27E+08
88,54,1.57E+07
89,54,789000
90,54,3560
91,54,6200
92,54,7.58
93,54,2.27
94,54,0.0452
95,54,0.00484
96,54,0.000902
97,54,0.000326
98,54,0.000112
99,54,3.65E-05
100,54,1.10E-05
101,54,2.84E-06
102,54,6.91E-07
103,54,1.47E-07
104,54,2.68E-08
105,54,9.03E-09
106,54,4.29E-09
107,54,2.08E-09
108,54,9.78E-10
109,54,4.66E-10
110,54,2.51E-10
111,54,1.41E-10
112,54,8.21E-11
113,54,4.68E-11
114,54,2.68E-11
115,54,1.50E-11
116,54,8.29E-12
117,54,4.00E-12
118,54,1.98E-12
119,54,1.45E-12
120,54,1.34E-12
121,54,1.31E-12
122,54,1.22E-12
124,54,1.05E-12
126,54,8.26E-13
56,55,0.282
57,55,10.7
58,55,346
59,55,12300
60,55,329000
61,55,5700000
62,55,6.09E+07
63,55,4.04E+08
64,55,1.71E+09
65,55,4.77E+09
66,55,9.06E+09
67,55,1.22E+10
68,55,1.19E+10
69,55,8.91E+09
70,55,7.68E+09
71,55,8.99E+09
72,55,8.92E+09
73,55,7.74E+09
74,55,6.19E+09
75,55,4.67E+09
76,55,3.37E+09
77,55,2.32E+09
78,55,1.54E+09
79,55,9.78E+08
80,55,6.56E+08
81,55,4.28E+08
82,55,5.71E+08
83,55,4.73E+08
84,55,8.18E+08
85,55,5.59E+08
86,55,5.30E+08
87,55,1.99E+08
88,55,7660000
89,55,3.44E+07
90,55,280000
91,55,65900
92,55,238
93,55,141
94,55,1.29
95,55,0.135
96,55,0.0105
97,55,0.00269
98,55,0.000907
99,55,0.000288
100,55,8.42E-05
101,55,2.23E-05
102,55,5.01E-06
103,55,1.02E-06
104,55,1.78E-07
105,55,5.82E-08
106,55,2.46E-08
107,55,1.12E-08
108,55,5.09E-09
109,55,2.24E-09
110,55,1.00E-09
111,55,5.19E-10
112,55,2.70E-10
113,55,1.40E-10
114,55,7.22E-11
115,55,3.69E-11
116,55,1.86E-11
117,55,9.06E-12
118,55,3.77E-12
119,55,2.44E-12
120,55,2.22E-12
121,55,2.09E-12
122,55,1.94E-12
123,55,1.75E-12
124,55,1.62E-12
125,55,1.47E-12
126,55,1.19E-12
55,56,7.35E-05
56,56,0.00215
57,56,0.0702
58,56,2.59
59,56,86.5
60,56,3330
61,56,97900
62,56,1810000
63,56,2.09E+07
64,56,2.14E+08
65,56,1.02E+09
66,56,3.25E+09
67,56,7.16E+09
68,56,1.13E+10
69,56,1.33E+10
70,56,1.16E+10
71,56,8.28E+09
72,56,8.14E+09
73,56,9.46E+09
74,56,9.60E+09
75,56,8.64E+09
76,56,7.25E+09
77,56,5.77E+09
78,56,4.40E+09
79,56,3.21E+09
80,56,2.24E+09
81,56,1.48E+09
82,56,9.27E+08
83,56,5.85E+08
84,56,4.42E+08
85,56,4.76E+08
86,56,7.52E+08
87,56,3.13E+08
88,56,8.22E+08
89,56,3.17E+07
90,56,3.00E+07
91,56,3510000
92,56,126000
93,56,688
94,56,35.2
95,56,3.99
96,56,0.329
97,56,0.0286
98,56,0.00778
99,56,0.00233
100,56,0.000652
101,56,0.000166
102,56,3.73E-05
103,56,7.11E-06
104,56,1.27E-06
105,56,4.09E-07
106,56,1.64E-07
107,56,6.65E-08
108,56,2.89E-08
109,56,1.22E-08
110,56,5.05E-09
111,56,2.30E-09
112,56,1.09E-09
113,56,5.27E-10
114,56,2.46E-10
115,56,1.14E-10
116,56,5.17E-11
117,56,2.29E-11
118,56,9.57E-12
119,56,4.37E-12
120,56,3.97E-12
121,56,3.61E-12
122,56,3.10E-12
123,56,2.83E-12
124,56,2.51E-12
125,56,2.20E-12
126,56,1.93E-12
58,57,0.0265
59,57,0.931
60,57,30.6
61,57,1160
62,57,36900
63,57,738000
64,57,9320000
65,57,7.58E+07
66,57,4.07E+08
67,57,1.48E+09
68,57,3.79E+09
69,57,7.01E+09
70,57,9.72E+09
71,57,1.04E+10
72,57,8.52E+09
73,57,5.92E+09
74,57,6.39E+09
75,57,7.56E+09
76,57,8.05E+09
77,57,7.64E+09
78,57,6.77E+09
79,57,5.71E+09
80,57,4.61E+09
81,57,3.53E+09
82,57,2.57E+09
83,57,1.77E+09
84,57,1.58E+09
85,57,9.36E+08
86,57,4.98E+08
87,57,4.06E+08
88,57,3.93E+08
89,57,9.40E+07
90,57,1.64E+08
91,57,3610000
92,57,2520000
93,57,13800
94,57,1320
95,57,107
96,57,9.99
97,57,0.485
98,57,0.0847
99,57,0.0174
100,57,0.00432
101,57,0.001
102,57,0.00021
103,57,3.89E-05
104,57,7.45E-06
105,57,2.20E-06
106,57,8.04E-07
107,57,3.49E-07
108,57,1.34E-07
109,57,5.56E-08
110,57,2.21E-08
111,57,8.64E-09
112,57,3.90E-09
113,57,1.74E-09
114,57,7.54E-10
115,57,4.47E-10
116,57,1.86E-10
117,57,7.46E-11
118,57,2.85E-11
119,57,1.01E-11
120,57,5.66E-12
121,57,4.80E-12
122,57,4.16E-12
123,57,3.58E-12
124,57,3.08E-12
125,57,2.59E-12
126,57,2.20E-12
127,57,1.88E-12
56,58,3.53E-07
57,58,1.07E-05
58,58,0.000329
59,58,0.00998
60,58,0.315
61,58,9.63
62,58,331
63,58,11400
64,58,248000
65,58,3470000
66,58,3.17E+07
67,58,1.94E+08
68,58,8.20E+08
69,58,2.47E+09
70,58,5.48E+09
71,58,9.18E+09
72,58,1.20E+10
73,58,1.22E+10
74,58,9.81E+09
75,58,6.68E+09
76,58,6.75E+09
77,58,8.43E+09
78,58,9.64E+09
79,58,1.01E+10
80,58,9.79E+09
81,58,8.94E+09
82,58,7.76E+09
83,58,6.41E+09
84,58,4.99E+09
85,58,3.63E+09
86,58,2.44E+09
87,58,1.48E+09
88,58,1.83E+09
89,58,3.59E+08
90,58,4.09E+08
91,58,4.40E+07
92,58,1.97E+07
93,58,869000
94,58,66700
95,58,2520
96,58,281
97,58,12.1
98,58,2.25
99,58,0.351
100,58,0.0671
101,58,0.0135
102,58,0.00248
103,58,0.000407
104,58,6.36E-05
105,58,1.93E-05
106,58,6.08E-06
107,58,2.57E-06
108,58,1.07E-06
109,58,4.01E-07
110,58,1.56E-07
111,58,5.89E-08
112,58,2.38E-08
113,58,1.00E-08
114,58,4.22E-09
115,58,1.70E-09
116,58,6.55E-10
117,58,2.44E-10
118,58,8.56E-11
119,58,2.81E-11
120,58,1.26E-11
121,58,1.05E-11
122,58,8.51E-12
123,58,7.11E-12
124,58,5.81E-12
125,58,4.82E-12
126,58,3.93E-12
61,59,0.0946
62,59,2.64
63,59,74.8
64,59,2800
65,59,66600
66,59,1030000
67,59,1.05E+07
68,59,7.32E+07
69,59,3.60E+08
70,59,1.29E+09
71,59,3.48E+09
72,59,7.17E+09
73,59,1.16E+10
74,59,1.49E+10
75,59,1.51E+10
76,59,1.20E+10
77,59,7.92E+09
78,59,6.35E+09
79,59,8.57E+09
80,59,1.07E+10
81,59,1.26E+10
82,59,1.41E+10
83,59,1.46E+10
84,59,1.42E+10
85,59,1.30E+10
86,59,1.13E+10
87,59,9.16E+09
88,59,6.82E+09
89,59,4.57E+09
90,59,2.69E+09
91,59,2.71E+07
92,59,1.18E+07
93,59,907000
94,59,221000
95,59,41800
96,59,5780
97,59,254
98,59,52.2
99,59,8.9
100,59,1.54
101,59,0.301
102,59,0.0513
103,59,0.00756
104,59,0.000952
105,59,0.000169
106,59,4.80E-05
107,59,2.01E-05
108,59,8.27E-06
109,59,3.31E-06
110,59,1.28E-06
111,59,4.45E-07
112,59,1.62E-07
113,59,6.75E-08
114,59,2.73E-08
115,59,1.06E-08
116,59,3.97E-09
117,59,1.41E-09
118,59,4.68E-10
119,59,1.43E-10
120,59,3.98E-11
121,59,2.40E-11
122,59,1.89E-11
123,59,1.50E-11
124,59,1.16E-11
125,59,9.31E-12
126,59,7.36E-12
58,60,4.73E-08
59,60,1.32E-06
60,60,3.60E-05
61,60,0.000949
62,60,0.0246
63,60,0.624
64,60,18.1
65,60,677
66,60,19300
67,60,360000
68,60,4390000
69,60,3.55E+07
70,60,1.95E+08
71,60,7.41E+08
72,60,2.02E+09
73,60,4.22E+09
74,60,8.69E+09
75,60,1.44E+10
76,60,1.92E+10
77,60,2.01E+10
78,60,1.59E+10
79,60,9.78E+09
80,60,5.68E+09
81,60,6.61E+09
82,60,9.23E+09
83,60,1.23E+10
84,60,1.57E+10
85,60,1.93E+10
86,60,2.27E+10
87,60,2.58E+10
88,60,2.77E+10
89,60,2.79E+10
90,60,1.83E+13
91,60,2.79E+08
92,60,3.28E+07
93,60,1.21E+07
94,60,3690000
95,60,894000
96,60,163000
97,60,4390
98,60,1010
99,60,193
100,60,35.3
101,60,7.41
102,60,1.33
103,60,0.199
104,60,0.0244
105,60,0.0024
106,60,0.000443
107,60,0.000162
108,60,6.61E-05
109,60,2.65E-05
110,60,1.02E-05
111,60,3.74E-06
112,60,1.28E-06
113,60,5.29E-07
114,60,1.96E-07
115,60,7.56E-08
116,60,2.75E-08
117,60,9.42E-09
118,60,3.02E-09
119,60,8.75E-10
120,60,2.27E-10
121,60,6.03E-11
122,60,4.45E-11
123,60,3.39E-11
124,60,2.55E-11
125,60,1.93E-11
126,60,1.46E-11
128,60,8.28E-12
136,60,6.63E-13
63,61,0.00538
64,61,0.14
65,61,5.18
66,61,206
67,61,6330
68,61,127000
69,61,1690000
70,61,1.51E+07
71,61,9.29E+07
72,61,4.03E+08
73,61,1.26E+09
74,61,2.94E+09
75,61,5.22E+09
76,61,9.50E+09
77,61,1.73E+10
78,61,2.54E+10
79,61,2.89E+10
80,61,2.27E+10
81,61,1.24E+10
82,61,6.93E+09
83,61,6.46E+09
84,61,5.68E+09
85,61,4.76E+09
86,61,3.84E+09
87,61,2.96E+09
88,61,2.19E+09
89,61,1.47E+09
90,61,9.38E+08
91,61,5.50E+08
92,61,2.91E+08
93,61,1.36E+08
94,61,5.38E+07
95,61,1.75E+07
96,61,4440000
97,61,62700
98,61,16400
99,61,3560
100,61,681
101,61,158
102,61,31.3
103,61,5.13
104,61,0.675
105,61,0.0686
106,61,0.00663
107,61,0.00134
108,61,0.000541
109,61,0.000213
110,61,8.14E-05
111,61,2.95E-05
112,61,1.01E-05
113,61,4.06E-06
114,61,1.61E-06
115,61,5.77E-07
116,61,2.06E-07
117,61,6.86E-08
118,61,2.11E-08
119,61,5.84E-09
120,61,1.43E-09
121,61,3.03E-10
122,61,1.18E-10
123,61,8.39E-11
124,61,5.98E-11
125,61,4.31E-11
126,61,3.10E-11
128,61,1.62E-11
130,61,8.39E-12
132,61,4.39E-12
134,61,2.06E-12
136,61,9.90E-13
138,61,3.78E-13
140,61,9.83E-14
61,62,8.49E-08
62,62,1.98E-06
63,62,4.42E-05
64,62,0.00129
65,62,0.0406
66,62,1.4
67,62,51.1
68,62,1690
69,62,36600
70,62,550000
71,62,5710000
72,62,4.04E+07
73,62,2.00E+08
74,62,7.06E+08
75,62,1.82E+09
76,62,3.80E+09
77,62,6.33E+09
78,62,8.53E+09
79,62,1.85E+10
80,62,3.29E+10
81,62,4.45E+10
82,62,1.89E+13
83,62,7.57E+09
84,62,8.44E+09
85,62,8.68E+09
86,62,8.28E+09
87,62,7.51E+09
88,62,6.51E+09
89,62,5.40E+09
90,62,4.14E+09
91,62,3.00E+09
92,62,2.01E+09
93,62,1.22E+09
94,62,6.51E+08
95,62,2.98E+08
96,62,1.12E+08
97,62,1120000
98,62,226000
99,62,57100
100,62,11700
101,62,2790
102,62,622
103,62,115
104,62,16.9
105,62,1.9
106,62,0.155
107,62,0.0268
108,62,0.00458
109,62,0.00173
110,62,0.000643
111,62,0.000228
112,62,7.76E-05
113,62,3.18E-05
114,62,1.25E-05
115,62,4.65E-06
116,62,1.63E-06
117,62,5.08E-07
118,62,1.50E-07
119,62,3.97E-08
120,62,9.18E-09
121,62,1.83E-09
122,62,3.43E-10
123,62,2.32E-10
124,62,1.55E-10
125,62,1.05E-10
126,62,7.05E-11
128,62,3.34E-11
130,62,1.60E-11
132,62,7.67E-12
134,62,3.32E-12
136,62,1.49E-12
138,62,5.45E-13
140,62,1.34E-13
142,62,1.92E-14
144,62,1.41E-15
65,63,0.000368
66,63,0.0104
67,63,0.33
68,63,12.2
69,63,449
70,63,11200
71,63,187000
72,63,2130000
73,63,1.67E+07
74,63,9.27E+07
75,63,3.73E+08
76,63,1.11E+09
77,63,2.51E+09
78,63,4.45E+09
79,63,7.32E+09
80,63,9.99E+09
81,63,1.15E+10
82,63,1.08E+10
83,63,8.67E+09
84,63,6.06E+09
85,63,7.69E+09
86,63,9.45E+09
87,63,1.09E+10
88,63,1.20E+10
89,63,1.23E+10
90,63,1.20E+10
91,63,1.11E+10
92,63,9.40E+09
93,63,7.58E+09
94,63,5.63E+09
95,63,3.78E+09
96,63,2.23E+09
97,63,2.23E+07
98,63,2670000
99,63,805000
100,63,198000
101,63,40700
102,63,10400
103,63,2190
104,63,371
105,63,47.9
106,63,4.48
107,63,0.585
108,63,0.104
109,63,0.0154
110,63,0.00525
111,63,0.00177
112,63,0.000603
113,63,0.000244
114,63,9.47E-05
115,63,3.48E-05
116,63,1.19E-05
117,63,3.77E-06
118,63,1.04E-06
119,63,2.64E-07
120,63,5.79E-08
121,63,1.09E-08
122,63,1.72E-09
123,63,7.38E-10
124,63,4.65E-10
125,63,2.92E-10
126,63,1.88E-10
127,63,1.20E-10
128,63,7.83E-11
130,63,3.36E-11
131,63,2.20E-11
132,63,1.47E-11
133,63,9.67E-12
134,63,6.42E-12
135,63,3.79E-12
136,63,2.41E-12
137,63,1.42E-12
138,63,8.09E-13
140,63,1.89E-13
142,63,2.60E-14
144,63,1.84E-15
146,63,5.57E-17
61,64,5.26E-12
63,64,4.48E-09
64,64,1.25E-07
65,64,3.39E-06
66,64,8.91E-05
67,64,0.00229
68,64,0.0715
69,64,2.66
70,64,107
71,64,2860
72,64,54000
73,64,713000
74,64,6480000
75,64,4.12E+07
76,64,1.88E+08
77,64,6.25E+08
78,64,1.55E+09
79,64,3.07E+09
80,64,5.12E+09
81,64,7.98E+09
82,64,1.16E+10
83,64,1.42E+10
84,64,1.45E+10
85,64,1.21E+10
86,64,8.55E+09
87,64,5.86E+09
88,64,8.05E+09
89,64,1.06E+10
90,64,1.34E+10
91,64,1.63E+10
92,64,1.93E+10
93,64,2.21E+10
94,64,2.31E+10
95,64,2.31E+10
96,64,1.71E+13
97,64,2.31E+08
98,64,2.70E+07
99,64,9980000
100,64,3070000
101,64,752000
102,64,147000
103,64,36300
104,64,7250
105,64,1110
106,64,124
107,64,11.4
108,64,2.17
109,64,0.344
110,64,0.0438
111,64,0.0119
112,64,0.00459
113,64,0.00182
114,64,0.000692
115,64,0.000249
116,64,8.33E-05
117,64,2.55E-05
118,64,7.01E-06
119,64,1.68E-06
120,64,3.55E-07
121,64,6.39E-08
122,64,9.68E-09
123,64,2.22E-09
124,64,1.27E-09
125,64,7.35E-10
126,64,4.41E-10
127,64,2.65E-10
128,64,1.60E-10
130,64,5.93E-11
131,64,3.70E-11
132,64,2.27E-11
133,64,1.45E-11
134,64,9.15E-12
135,64,5.64E-12
136,64,3.09E-12
137,64,1.76E-12
138,64,9.48E-13
140,64,2.07E-13
142,64,2.70E-14
144,64,1.83E-15
146,64,5.48E-17
