N,Z,rate
19,19,1.49E+12
20,19,1.22E+12
21,19,1.81E+11
22,19,2.45E+11
23,19,5.32E+11
24,19,7.95E+11
25,19,8.85E+11
26,19,7.29E+11
27,19,4.74E+11
28,19,2.24E+11
29,19,2.26E+09
30,19,4740000
31,19,220000
32,19,8430
33,19,2070
34,19,253
35,19,30.9
36,19,1.56
37,19,0.407
38,19,0.0473
39,19,0.00839
40,19,0.00175
42,19,0.000117
44,19,5.02E-06
46,19,3.25E-07
14,20,25300
15,20,788000
16,20,2.64E+07
17,20,9.28E+08
18,20,3.49E+10
19,20,7.62E+11
20,20,1.56E+14
21,20,1.18E+11
22,20,2.11E+11
23,20,1.45E+11
24,20,3.03E+11
25,20,6.36E+11
26,20,1.07E+12
27,20,1.52E+12
28,20,1.57E+14
29,20,1.51E+10
30,20,3.09E+07
31,20,2450000
32,20,328000
33,20,134000
34,20,11200
35,20,2490
36,20,204
37,20,29.8
38,20,4.18
39,20,0.234
40,20,0.0431
42,20,0.0017
44,20,7.90E-05
46,20,6.80E-06
48,20,6.48E-07
50,20,6.31E-08
18,21,3.52E+08
19,21,7.66E+09
20,21,1.21E+10
21,21,2.47E+10
22,21,1.25E+11
23,21,2.43E+11
24,21,1.82E+11
25,21,1.17E+11
26,21,5.95E+10
27,21,2.29E+10
28,21,6.97E+09
29,21,1.73E+09
30,21,2.99E+08
31,21,5.20E+07
32,21,8200000
33,21,1180000
34,21,163000
35,21,46500
36,21,3510
37,21,1180
38,21,30.9
39,21,7.36
40,21,1.12
41,21,0.203
42,21,0.0381
43,21,0.00609
44,21,0.00146
45,21,0.000355
46,21,0.00011
47,21,3.72E-05
48,21,1.15E-05
50,21,8.43E-07
52,21,5.58E-08
17,22,18000
18,22,686000
19,22,1.52E+07
20,22,7.08E+07
21,22,1.65E+09
22,22,2.46E+10
23,22,1.35E+11
24,22,2.81E+11
25,22,2.23E+11
26,22,1.56E+11
27,22,9.05E+10
28,22,3.91E+10
29,22,1.34E+10
30,22,3.30E+09
31,22,7.73E+08
32,22,1.61E+08
33,22,3.07E+07
34,22,5240000
35,22,768000
36,22,82600
37,22,7220
38,22,943
39,22,144
40,22,25.6
41,22,4.87
42,22,0.813
43,22,0.132
44,22,0.0311
45,22,0.0071
46,22,0.00149
47,22,0.000434
48,22,0.000138
49,22,4.34E-05
50,22,1.21E-05
52,22,7.02E-07
19,23,106000
20,23,2570000
21,23,6.42E+07
22,23,1.63E+09
23,23,2.64E+10
24,23,1.53E+11
25,23,3.29E+11
26,23,2.72E+11
27,23,1.99E+11
28,23,1.34E+11
29,23,6.56E+10
30,23,2.59E+10
31,23,8.70E+09
32,23,2.17E+09
33,23,5.41E+08
34,23,1.16E+08
35,23,2.02E+07
36,23,2500000
37,23,242000
38,23,32200
39,23,4550
40,23,692
41,23,116
42,23,19.5
43,23,2.99
44,23,0.629
45,23,0.141
46,23,0.029
47,23,0.00502
48,23,0.00137
49,23,0.000478
50,23,0.000146
52,23,9.72E-06
18,24,155
19,24,3660
20,24,90800
21,24,2370000
22,24,6.47E+07
23,24,1.85E+09
24,24,3.07E+10
25,24,1.79E+11
26,24,3.92E+11
27,24,3.33E+11
28,24,2.42E+11
29,24,1.95E+11
30,24,1.13E+11
31,24,5.30E+10
32,24,2.12E+10
33,24,6.30E+09
